,turn,author civ,subject civ,cable
6946,139,Korea,The Incas,A neutral civilization is how our intelligence officers portrayed their association with the Incas
6947,139,Korea,The Incas,With gratitude
6948,139,Korea,The Incas,The Incan Nation desk
6949,139,Korea,The Iroquois,Dear correspondent
6950,139,Korea,The Iroquois,We hope this finds you enjoying your posting
6951,139,Korea,The Iroquois,We are regularly reminded by the Iroquois behavior why we call the Iroquois a competitor
6952,139,Korea,The Iroquois,We regard the probability of taking over the Iroquois to be average
6953,139,Korea,The Iroquois,The foreign office desires any reporting available detailing the Iroquois military potential
6954,139,Korea,The Iroquois,The Songhais politicians these days consider the Incas as a favorable party
6955,139,Korea,The Iroquois,Sincerely
6956,139,Korea,The Iroquois,The Foreign Secretary
6957,139,The Iroquois,The Incas,Foreign Secretarys Office
6958,139,The Iroquois,The Incas,We have been diligent in your service and have the following to report
6959,139,The Iroquois,The Incas,The Songhai think that the Koreans present a minor obstacle to the Songhais plans
6960,139,The Iroquois,The Incas,Inasmuch as we can assume the Incas thinks we are a neutral party
6961,139,The Iroquois,The Incas,Our professed position with respect to the Incas looks friendly
6962,139,The Iroquois,The Incas,According to our spies the Incas are centered around technological preeminence
6963,139,The Iroquois,The Incas,This hypothesis comes from a quite convinced source
6964,139,The Iroquois,The Incas,We believe the Incas to be a favorable target for attack
6965,139,The Iroquois,The Incas,Our sources intimate that the Incas military plans are weak
6966,139,The Iroquois,The Incas,At your service
6967,139,The Iroquois,The Incas,The Diplomatic Corps
6968,139,Songhai,Bogota,Dear Honorable Foreign Secretary
6969,139,Songhai,Bogota,Greetings from post We perceive Bogota to be a soft target for attack
6970,139,Songhai,Bogota,We are exhibiting a neutral manner toward Bogota
6971,139,Songhai,Bogota,Best regards
6972,139,Songhai,Bogota,Ambassador to Bogota
6973,139,Morocco,Ife,Loyal agents abroad
6974,139,Morocco,Ife,All of us send our best wishes to those abroad in our service
6975,139,Morocco,Ife,We regard Ife to be an average target for attack
6976,139,Morocco,Ife,We are taking a friendly posture toward Ife
6977,139,Morocco,Ife,Best regards
6978,139,Morocco,Ife,The Office of the Foreign Secretary
6979,139,The Iroquois,Ife,To Foreign Correspondents Office
6980,139,The Iroquois,Ife,We are always happy to hear from you and write with what we hope is helpful news
6981,139,The Iroquois,Ife,A friendly posture with Ife is what we state
6982,139,The Iroquois,Ife,We figure Ifes military to be poor
6983,139,The Iroquois,Ife,We estimate Ife to be a soft target for attack
6984,139,The Iroquois,Ife,Kind regards
6985,139,The Iroquois,Ife,The Office of the Foreign Secretary
6986,140,Songhai,The Iroquois,Diplomatic Corps
6987,140,Songhai,The Iroquois,I hope this letter finds you well
6988,140,Songhai,The Iroquois,We are taking a friendly posture toward the Iroquois
6989,140,Songhai,The Iroquois,We consider the prospect of conquering the Iroquois to be bad
6990,140,Songhai,The Iroquois,Our intelligence officers report that the Iroquois military ambitions are average
6991,140,Songhai,The Iroquois,According to the Incas spies the Germans are largely about unknown preeminence
6992,140,Songhai,The Iroquois,This report comes from a not at all convinced source
6993,140,Songhai,The Iroquois,Yours truly
6994,140,Songhai,The Iroquois,The Foreign Secretary
6995,140,Morocco,Korea,Greetings Foreign Correspondents Office
6996,140,Morocco,Korea,I hope all is going well
6997,140,Morocco,Korea,We estimate the Koreans to be a bad target for attack
6998,140,Morocco,Korea,We are periodically reminded by the Koreans behavior why we call the Koreans a neutral civilization
6999,140,Morocco,Korea,Please report on the Koreans economic plans as the foreign office is thoroughly worried about the Koreans conduct
7000,140,Morocco,Korea,The Germans relations with the Incas currently are friendly
7001,140,Morocco,Korea,We think that the Koreans comprise a major danger to our plans
7002,140,Morocco,Korea,Our professed stance in regard to the Koreans appears friendly
7003,140,Morocco,Korea,Best regards
7004,140,Morocco,Korea,His Honor the Foreign Secretary
7005,140,Morocco,The Iroquois,To Moroccan embassy in the Iroquois nation
7006,140,Morocco,The Iroquois,Those of us at home send kind regards to you and yours
7007,140,Morocco,The Iroquois,We acknowledge the likelihood of taking over the Iroquois to be bad
7008,140,Morocco,The Iroquois,Insofar as we can tell the Iroquois feels we are a neutral civilization
7009,140,Morocco,The Iroquois,A neutral posture with the Koreans is what the Songhai assert
7010,140,Morocco,The Iroquois,Our sources reveal that the Iroquois military interests are strong
7011,140,Morocco,The Iroquois,Our relations with the Iroquois presently are friendly
7012,140,Morocco,The Iroquois,We infer that the Iroquois are a severe problem to our plans
7013,140,Morocco,The Iroquois,Respectfully
7014,140,Morocco,The Iroquois,Chief of the Foreign Service
7015,140,The Iroquois,Korea,Dear Foreign Office
7016,140,The Iroquois,Korea,We hope this cable finds you well
7017,140,The Iroquois,Korea,We published that affairs between us and the Koreans are these days neutral
7018,140,The Iroquois,Korea,A competitor is how our intelligence officers labeled their dealings with the Koreans
7019,140,The Iroquois,Korea,The Germans are taking a friendly stance toward the Incas
7020,140,The Iroquois,Korea,The problem that the Koreans constitute is portrayed as severe by our sources
7021,140,The Iroquois,Korea,Sincerely
7022,140,The Iroquois,Korea,Your faithful foreign correspondent
7023,140,Morocco,Florence,Dearest Ambassador
7024,140,Morocco,Florence,The Foreign Secretarys Office appreciates your service
7025,140,Morocco,Florence,We regard Florences military to be average
7026,140,Morocco,Florence,Our announced policy regarding Florence feels friendly
7027,140,Morocco,Florence,Kind regards
7028,140,Morocco,Florence,The Foreign Office
7029,140,Germany,Panama City,Greetings Foreign Secretary
7030,140,Germany,Panama City,It is always good to hear from you and to write back with reports
7031,140,Germany,Panama City,Recent incidents have led us to esteem Panama City as a poor military contender
7032,140,Germany,Panama City,We look at the possibility of conquering Panama City to be favorable
7033,140,Germany,Panama City,We disclosed that affairs between us and Panama City are now neutral
7034,140,Germany,Panama City,Yours
7035,140,Germany,Panama City,The Foreign Service
7036,140,Korea,Florence,Dearest Diplomatic Corps
7037,140,Korea,Florence,The Foreign Secretary sends his regards and hopes the following proves useful
7038,140,Korea,Florence,Florences economic capability has attained a weak threshold according to our spies
7039,140,Korea,Florence,Our reputed posture with respect to Florence is likely protective
7040,140,Korea,Florence,We believe Florence to be a favorable target for attack
7041,140,Korea,Florence,With gratitude
7042,140,Korea,Florence,The Foreign Office
7043,140,Korea,Budapest,Foreign Secretarys Office
7044,140,Korea,Budapest,Your humble representatives wish you well
7045,140,Korea,Budapest,We are displaying a protective disposition toward Budapest
7046,140,Korea,Budapest,At your service
7047,140,Korea,Budapest,Your faithful foreign correspondent
7048,140,The Iroquois,Bogota,Dear Your Honor the Foreign Secretary
7049,140,The Iroquois,Bogota,I hope this finds you in high spirits and good health
7050,140,The Iroquois,Bogota,Our open stance on the subject of Bogota feels friendly
7051,140,The Iroquois,Bogota,Recent actions have led us to consider Bogota as a pathetic military agent
7052,140,The Iroquois,Bogota,Sincerely
7053,140,The Iroquois,Bogota,Foreign correspondent in Bogota
7054,141,Songhai,Kathmandu,Greetings Songhai embassy in Kathmandu
7055,141,Songhai,Kathmandu,I hope all is going well
7056,141,Songhai,Kathmandu,Kathmandus economic force has arrived at a poor degree according to our diplomatic cables
7057,141,Songhai,Kathmandu,We estimate Kathmandu to be a favorable target for attack
7058,141,Songhai,Kathmandu,Yours truly
7059,141,Songhai,Kathmandu,The Foreign Secretarys Office
7060,141,The Incas,Mombasa,To Your Honor the Foreign Secretary
7061,141,The Incas,Mombasa,No effort has been spared to collect the information you requested
7062,141,The Incas,Mombasa,We figure Mombasas economy to be poor
7063,141,The Incas,Mombasa,Our announced policy regarding Mombasa appears neutral
7064,141,The Incas,Mombasa,Sincerely
7065,141,The Incas,Mombasa,Incan embassy in Mombasa
7066,141,Germany,Kyzyl,To ambassador to Kyzyl
7067,141,Germany,Kyzyl,We are always happy to hear from you and write with what we hope is helpful news
7068,141,Germany,Kyzyl,Recent events have led us to imagine Kyzyl as an average military player
7069,141,Germany,Kyzyl,Very respectfully yours
7070,141,Germany,Kyzyl,The Office of the Foreign Secretary
7071,142,The Incas,Songhai,Greetings Your Excellency the Ambassador
7072,142,The Incas,Songhai,We here at home wish to express our gratitude for your efforts in-country
7073,142,The Incas,Songhai,The foreign office would like any data possible pertaining to the Songhais military might
7074,142,The Incas,Songhai,Reliable advice from the Germans classifies the Koreans military strength as strong
7075,142,The Incas,Songhai,We estimate that the Songhai have become a minor problem to our strategies
7076,142,The Incas,Songhai,We acknowledge the hope of taking over the Songhai to be bad
7077,142,The Incas,Songhai,All the best
7078,142,The Incas,Songhai,Songhai desk
7079,142,Germany,Morocco,Dear Your Honor the Foreign Secretary
7080,142,Germany,Morocco,Our hearts are always hearty after hearing from you
7081,142,Germany,Morocco,We feel that the Moroccans present a minor risk to our interests
7082,142,Germany,Morocco,A friendly disposition with the Moroccans is what we affirm
7083,142,Germany,Morocco,The Koreans military force has arrived at an average degree according to the Iroquois intelligence officers
7084,142,Germany,Morocco,Regards
7085,142,Germany,Morocco,Correspondent in Morocco
7086,142,Germany,Korea,Greetings charge daffaires in Korea
7087,142,Germany,Korea,I hope everything is going well in Korea
7088,142,Germany,Korea, We acknowledge the Koreans to be a neutral civilization
7089,142,Germany,Korea,The Iroquois spies intimate that the Moroccans military strategies are poor
7090,142,Germany,Korea,Our agents state that the Koreans military interests are average
7091,142,Germany,Korea,We are displaying a friendly stance toward the Koreans
7092,142,Germany,Korea,The foreign office must have any forecasting in your possession regarding the Koreans military power
7093,142,Germany,Korea,Very truly yours
7094,142,Germany,Korea,Korea desk
7095,142,Germany,Korea,Dear Foreign Secretary
7096,142,Germany,Korea,Our hearts are always hearty after hearing from you
7097,142,Germany,Korea,We desired a deal to open the borders into Korea for the coming 30 turns and thus extended a deal to open the borders into Germany for the subsequent 30 turns in exchange
7098,142,Germany,Korea,A satisfactory pact with those terms was made today
7099,142,Germany,Korea,Faithfully yours
7100,142,Germany,Korea,Correspondent in Korea
7101,142,The Incas,Bogota,Dearest Your Honor
7102,142,The Incas,Bogota,Hopefully this finds all in order at the home office
7103,142,The Incas,Bogota,We figure Bogotas economy to be poor
7104,142,The Incas,Bogota,Our public diplomacy toward Bogota appears neutral
7105,142,The Incas,Bogota,Very respectfully yours
7106,142,The Incas,Bogota,Your faithful foreign correspondent
7107,142,Morocco,Panama City,Correspondent
7108,142,Morocco,Panama City,I hope everything is going well in Panama City
7109,142,Morocco,Panama City, We are displaying a neutral position toward Panama City
7110,142,Morocco,Panama City,We imagine the likelihood of taking over Panama City to be favorable
7111,142,Morocco,Panama City,Kind regards
7112,142,Morocco,Panama City,The Office of the Foreign Secretary
7113,142,Germany,Ife,German embassy in Ife
7114,142,Germany,Ife,I hope this information finds you well
7115,142,Germany,Ife,We disclosed that transactions between us and Ife are presently protective
7116,142,Germany,Ife,We report Ife to be an average target for attack
7117,142,Germany,Ife,All the best
7118,142,Germany,Ife,Ife desk
7119,143,Morocco,Germany,To foreign correspondent
7120,143,Morocco,Germany,Greetings from back home
7121,143,Morocco,Germany,Please report on the Germans military interests as the foreign office is acutely disquieted about the Germans activity
7122,143,Morocco,Germany,We proclaimed that proceedings between us and the Germans are at present friendly
7123,143,Morocco,Germany,A favorable country is how our sources labeled their association with the Germans
7124,143,Morocco,Germany,The Germans military might has approached a poor standing according to the Iroquois agents
7125,143,Morocco,Germany,Best regards
7126,143,Morocco,Germany,The Office of the Foreign Secretary
7127,143,Korea,Morocco,Greetings faithful foreign correspondent
7128,143,Korea,Morocco,Not a day goes by where we do not think highly of your zeal for your work
7129,143,Korea,Morocco,We imagine the possibility of conquering the Moroccans to be favorable
7130,143,Korea,Morocco,Our relations with the Moroccans these days are friendly
7131,143,Korea,Morocco,Our sources reveal that the Moroccans military activities are poor
7132,143,Korea,Morocco,Recent actions have led the Incas to see the Germans as an average military performer
7133,143,Korea,Morocco,The foreign office desires any advice possible relevant to the Moroccans military potential
7134,143,Korea,Morocco,Respectfully
7135,143,Korea,Morocco,The Honorable Foreign Secretary
7136,143,The Iroquois,Germany,Greetings foreign correspondent
7137,143,The Iroquois,Germany,We are always happy to hear from you and write with what we hope is helpful news
7138,143,The Iroquois,Germany,Insofar as we can infer the Germans feels we are a neutral civilization
7139,143,The Iroquois,Germany,The hazard that the Songhai embody is characterized as major by the Moroccans spies
7140,143,The Iroquois,Germany,Our public policy as regards the Germans appears friendly
7141,143,The Iroquois,Germany,We think that the Germans amount to a moderate risk to our pursuits
7142,143,The Iroquois,Germany,The foreign office wants any reporting available detailing the Germans economic capability
7143,143,The Iroquois,Germany,We figure the Germans to be a favorable target for attack
7144,143,The Iroquois,Germany,Regards
7145,143,The Iroquois,Germany,The Foreign Office
7146,143,Songhai,Panama City,Dear Foreign Office
7147,143,Songhai,Panama City,I hope all is going well at home
7148,143,Songhai,Panama City,We are exhibiting an aggressive stance toward Panama City
7149,143,Songhai,Panama City,We consider Panama City to be a soft target for attack
7150,143,Songhai,Panama City,We regard Panama Citys economy to be poor
7151,143,Songhai,Panama City,All the best
7152,143,Songhai,Panama City,His Excellency the Ambassador
7153,143,Songhai,Budapest,Dear colleague
7154,143,Songhai,Budapest,We here at home wish to express our gratitude for your efforts in-country
7155,143,Songhai,Budapest,A neutral disposition with Budapest is what we avow
7156,143,Songhai,Budapest,We look at the feasibility of taking over Budapest to be favorable
7157,143,Songhai,Budapest,Very respectfully yours
7158,143,Songhai,Budapest,The Foreign Service Office
7159,143,The Incas,Ife,Chief of Mission
7160,143,The Incas,Ife,I hope all is going well
7161,143,The Incas,Ife,We are taking a neutral attitude toward Ife
7162,143,The Incas,Ife,Best wishes
7163,143,The Incas,Ife,Ife desk
7164,143,Germany,Singapore,To Foreign Correspondents Office
7165,143,Germany,Singapore,Our government owes you a great debt for your sacrifice and service
7166,143,Germany,Singapore,We perceive the probability of taking over Singapore to be favorable
7167,143,Germany,Singapore,With gratitude
7168,143,Germany,Singapore,Singapore desk
7169,144,Korea,Germany,To foreign correspondent
7170,144,Korea,Germany,I hope this information finds you well
7171,144,Korea,Germany,The Germans economic strength has attained a poor standing according to our intelligence officers
7172,144,Korea,Germany,The threat that the Germans represent is represented as moderate by our intelligence officers
7173,144,Korea,Germany,Please expand on the Germans economic activities as the foreign office is very troubled about the Germans doings
7174,144,Korea,Germany,The Moroccans figure the Incas economy to be strong
7175,144,Korea,Germany,With appreciation
7176,144,Korea,Germany,Your trusted friend
7177,144,The Iroquois,Morocco,To Iroquois embassy in Morocco
7178,144,The Iroquois,Morocco,All of us send our best wishes to those abroad in our service
7179,144,The Iroquois,Morocco,A neutral country is how our sources described their rapport with the Moroccans
7180,144,The Iroquois,Morocco,We believe the Moroccans military to be weak
7181,144,The Iroquois,Morocco,The Incas sources suggest that the Songhais military strategies are average
7182,144,The Iroquois,Morocco,We figure the Moroccans to be a favorable target for attack
7183,144,The Iroquois,Morocco,The danger that the Moroccans constitute is portrayed as moderate by our sources
7184,144,The Iroquois,Morocco,With gratitude
7185,144,The Iroquois,Morocco,The Foreign Secretarys Office
7186,144,The Incas,Florence,Dearest Foreign Secretary
7187,144,The Incas,Florence,Hopefully this finds all in order at the home office
7188,144,The Incas,Florence,There is no news today
7189,144,The Incas,Florence,Very truly yours
7190,144,The Incas,Florence,Your faithful foreign correspondent
7191,144,The Incas,Panama City,Greetings Honorable Foreign Secretary
7192,144,The Incas,Panama City,We have been diligent in your service and have the following to report
7193,144,The Incas,Panama City,We regard Panama Citys economy to be poor
7194,144,The Incas,Panama City,Our professed posture regarding Panama City looks neutral
7195,144,The Incas,Panama City,We regard Panama City to be a soft target for attack
7196,144,The Incas,Panama City,Yours
7197,144,The Incas,Panama City,Charge daffaires in Panama City
7198,144,The Incas,Yerevan,Diplomatic Corps
7199,144,The Incas,Yerevan,The Foreign Secretarys Office appreciates your service
7200,144,The Incas,Yerevan,We estimate Yerevan to be an average target for attack
7201,144,The Incas,Yerevan,We perceive Yerevans economy to be poor
7202,144,The Incas,Yerevan,Very truly yours
7203,144,The Incas,Yerevan,The Foreign Service Office
7204,144,The Iroquois,Florence,Dear Your Honor
7205,144,The Iroquois,Florence,I hope this letter finds you well
7206,144,The Iroquois,Florence,We are exhibiting a friendly posture toward Florence
7207,144,The Iroquois,Florence,We imagine the feasibility of conquering Florence to be favorable
7208,144,The Iroquois,Florence,Very truly yours
7209,144,The Iroquois,Florence,Correspondent in Florence
7210,145,Songhai,Korea,Greetings Your Excellency the Ambassador
7211,145,Songhai,Korea,I hope all is going well
7212,145,Songhai,Korea,The foreign office must have any data in your possession detailing the Koreans economic capability
7213,145,Songhai,Korea,The hazard that the Koreans constitute is portrayed as minor by our spies
7214,145,Songhai,Korea,Whatever the Koreans open disposition may be we imagine the Koreans as a neutral civilization
7215,145,Songhai,Korea,Reputable advice of ours ranks the Koreans military power as poor
7216,145,Songhai,Korea,The risk that the Germans show is characterized as major by the Incas intelligence officers
7217,145,Songhai,Korea,A neutral stance with the Koreans is what we assert
7218,145,Songhai,Korea,Kind regards
7219,145,Songhai,Korea,The Foreign Office
7220,145,The Incas,The Iroquois,To Foreign Secretary
7221,145,The Incas,The Iroquois,I write with updates that hopefully prove useful
7222,145,The Incas,The Iroquois,According to our diplomatic cables the Iroquois are mainly concerned with military preeminence
7223,145,The Incas,The Iroquois,This hypothesis comes from a somewhat confident source
7224,145,The Incas,The Iroquois,Whatever the Iroquois reputed position may be we esteem the Iroquois as a neutral country
7225,145,The Incas,The Iroquois,The risk that the Iroquois present is defined as minor by our intelligence officers
7226,145,The Incas,The Iroquois,Trustworthy news of ours classifies the Iroquois military strength as average
7227,145,The Incas,The Iroquois,Recent incidents have led the Songhai to perceive the Koreans as an average military contender
7228,145,The Incas,The Iroquois,We are taking a friendly disposition toward the Iroquois
7229,145,The Incas,The Iroquois,Best regards
7230,145,The Incas,The Iroquois,The Foreign Correspondents Office
7231,145,Morocco,Songhai,Dear loyal agents abroad
7232,145,Morocco,Songhai,We hope this finds you enjoying your posting
7233,145,Morocco,Songhai,Insofar as the Iroquois can discern the Koreans suspects the Iroquois are a competitor
7234,145,Morocco,Songhai,The foreign office would like any advice available pertaining to the Songhais military might
7235,145,Morocco,Songhai,We look at the Songhai to be a neutral nation
7236,145,Morocco,Songhai,Our relations with the Songhai these days are neutral
7237,145,Morocco,Songhai,Our spies suggest that the Songhais military strategies are average
7238,145,Morocco,Songhai,Yours truly
7239,145,Morocco,Songhai,His Honor the Foreign Secretary
7240,145,Korea,Songhai,Dear ambassador to Songhai
7241,145,Korea,Songhai,Not a day goes by where we do not think highly of your zeal for your work
7242,145,Korea,Songhai,A neutral country is how our intelligence officers represented their relations with the Songhai
7243,145,Korea,Songhai,We are displaying a neutral stance toward the Songhai
7244,145,Korea,Songhai,The Germans believe the Iroquois to be a bad target for attack
7245,145,Korea,Songhai,Please inform on the Songhais economic activities as the foreign office is much disquieted about the Songhais conduct
7246,145,Korea,Songhai,Best wishes
7247,145,Korea,Songhai,The Honorable Foreign Secretary
7248,145,Morocco,Yerevan,Dear Foreign Correspondents Office
7249,145,Morocco,Yerevan,Best wishes from His Honor the Foreign Secretary
7250,145,Morocco,Yerevan,We report Yerevan to be an average target for attack
7251,145,Morocco,Yerevan,Kind regards
7252,145,Morocco,Yerevan,Chief of the Foreign Service
7253,145,Morocco,Budapest,To Your Honor
7254,145,Morocco,Budapest,I hope this finds you in high spirits and good health
7255,145,Morocco,Budapest,There is no news today
7256,145,Morocco,Budapest,Yours in service
7257,145,Morocco,Budapest,The Foreign Correspondents Office
7258,145,Germany,Yerevan,Ambassador to Yerevan
7259,145,Germany,Yerevan,It is a great honor to work with loyal public servants such as you and yours
7260,145,Germany,Yerevan,A neutral manner with Yerevan is what we avow
7261,145,Germany,Yerevan,We believe Yerevan to be an average target for attack
7262,145,Germany,Yerevan,With gratitude
7263,145,Germany,Yerevan,The Foreign Office
7264,146,The Incas,Korea,Greetings Chief of Mission
7265,146,The Incas,Korea,It is a great honor to work with loyal public servants such as you and yours
7266,146,The Incas,Korea,The foreign office needs any reporting you have relevant to the Koreans military potential
7267,146,The Incas,Korea,The Koreans economic capability has approached an average threshold according to our agents
7268,146,The Incas,Korea,We look at the likelihood of forcefully dominating the Koreans to be average
7269,146,The Incas,Korea,Insofar as the Germans can guess the Songhai estimates the Germans are a neutral civilization
7270,146,The Incas,Korea,Very respectfully yours
7271,146,The Incas,Korea,The Office of the Foreign Secretary
7272,146,Germany,Songhai,Greetings Chief of Mission
7273,146,Germany,Songhai,All of us send our best wishes to those abroad in our service
7274,146,Germany,Songhai,We perceive the feasibility of conquering the Songhai to be average
7275,146,Germany,Songhai,The Koreans regard the Moroccans to be a favorable target for attack
7276,146,Germany,Songhai,The Songhais military might has arrived at an average standing according to our sources
7277,146,Germany,Songhai,Warm regards
7278,146,Germany,Songhai,Songhai desk
7279,146,Songhai,Yerevan,Dear foreign correspondent
7280,146,Songhai,Yerevan,Not a day goes by where we do not think highly of your zeal for your work
7281,146,Songhai,Yerevan,There is no news today
7282,146,Songhai,Yerevan,Sincerely
7283,146,Songhai,Yerevan,The Foreign Service Office
7284,146,Morocco,Singapore,Moroccan embassy in Singapore
7285,146,Morocco,Singapore,Best wishes from His Honor the Foreign Secretary
7286,146,Morocco,Singapore,We professed that proceedings between us and Singapore are currently friendly
7287,146,Morocco,Singapore,We report Singapore to be an average target for attack
7288,146,Morocco,Singapore,Very respectfully yours
7289,146,Morocco,Singapore,The Honorable Foreign Secretary
7290,146,Germany,Bogota,Dear Your Honor
7291,146,Germany,Bogota,I hope this information finds you well
7292,146,Germany,Bogota,We esteem the hope of conquering Bogota to be favorable
7293,146,Germany,Bogota,Bogotas economic force has approached a poor threshold according to our spies
7294,146,Germany,Bogota,Very respectfully yours
7295,146,Germany,Bogota,Chief of Mission
7296,147,Songhai,The Incas,Dearest ambassador to The Incan Nation
7297,147,Songhai,The Incas,The Foreign Secretary sends his regards and hopes the following proves useful
7298,147,Songhai,The Incas,A favorable party is how our sources portrayed their dealings with the Incas
7299,147,Songhai,The Incas,Insofar as the Iroquois can tell the Moroccans thinks the Iroquois are a neutral nation
7300,147,Songhai,The Incas,We believe the Incas economy to be strong
7301,147,Songhai,The Incas,The threat that the Incas show is represented as moderate by our diplomatic cables
7302,147,Songhai,The Incas,Regards
7303,147,Songhai,The Incas,The Office of the Foreign Secretary
7304,147,Songhai,Morocco,Greetings charge daffaires in Morocco
7305,147,Songhai,Morocco,I hope this information finds you well
7306,147,Songhai,Morocco,The Germans politicians now see the Incas as a neutral country
7307,147,Songhai,Morocco,We perceive the chance of forcefully dominating the Moroccans to be average
7308,147,Songhai,Morocco,The foreign office wants any forecasting possible regarding the Moroccans military force
7309,147,Songhai,Morocco,The danger that the Moroccans present is described as minor by our diplomatic cables
7310,147,Songhai,Morocco,We are regularly reminded by the Moroccans behavior why we call the Moroccans a neutral party
7311,147,Songhai,Morocco,Very respectfully yours
7312,147,Songhai,Morocco,The Foreign Service Office
7313,147,Songhai,Germany,Your Honor the Foreign Secretary
7314,147,Songhai,Germany,I hope this finds you in high spirits and good health
7315,147,Songhai,Germany,We are displaying a friendly position toward the Germans
7316,147,Songhai,Germany,The Incas proclaimed that relations between the Incas and the Koreans are currently neutral
7317,147,Songhai,Germany,We report the Germans to be an average target for attack
7318,147,Songhai,Germany,We estimate the Germans to be pursuing unknown dominance these days
7319,147,Songhai,Germany,Our diplomatic cables are not at all confident in this report
7320,147,Songhai,Germany,We feel that the Germans comprise a minor risk to our pursuits
7321,147,Songhai,Germany,Yours in service
7322,147,Songhai,Germany,The Foreign Correspondents Office
7323,147,Songhai,The Iroquois,To ambassador to the Iroquois nation
7324,147,Songhai,The Iroquois,I hope everything is going well in the Iroquois nation
7325,147,Songhai,The Iroquois, We perceive the Iroquois to be pursuing unknown dominance of late
7326,147,Songhai,The Iroquois,Our intelligence officers are not at all confident in this assessment
7327,147,Songhai,The Iroquois,Our ministers these days acknowledge the Iroquois as a competitor
7328,147,Songhai,The Iroquois,The Germans look at the chance of conquering the Koreans to be average
7329,147,Songhai,The Iroquois,Please inform on the Iroquois economic interests as the foreign office is quite disquieted about the Iroquois doings
7330,147,Songhai,The Iroquois,We estimate that the Iroquois have become a major problem to our ambitions
7331,147,Songhai,The Iroquois,We are exhibiting a friendly attitude toward the Iroquois
7332,147,Songhai,The Iroquois,Warm regards
7333,147,Songhai,The Iroquois,The Foreign Secretary
7334,147,Germany,The Incas,Greetings German embassy in The Incan Nation
7335,147,Germany,The Incas,Best wishes from His Honor the Foreign Secretary
7336,147,Germany,The Incas,Reputable data of ours rates the Incas military strength as poor
7337,147,Germany,The Incas,A neutral country is how our agents portrayed their association with the Incas
7338,147,Germany,The Incas,Please expand on the Incas economic pursuits as the foreign office is acutely troubled about the Incas conduct
7339,147,Germany,The Incas,The Iroquois consider the Koreans to be pursuing technological dominance currently
7340,147,Germany,The Incas,The Iroquois agents are somewhat sure in this estimate
7341,147,Germany,The Incas,Our advertised diplomacy vis-à-vis the Incas is likely neutral
7342,147,Germany,The Incas,We feel that the Incas represent a minor hazard to our plans
7343,147,Germany,The Incas,Very truly yours
7344,147,Germany,The Incas,His Honor the Foreign Secretary
7345,147,The Iroquois,Songhai,Dear loyal agents abroad
7346,147,The Iroquois,Songhai,I hope all is going well
7347,147,The Iroquois,Songhai,The Koreans economic power has come to a strong standing according to the Incas intelligence officers
7348,147,The Iroquois,Songhai,We professed that transactions between us and the Songhai are of late deceptive
7349,147,The Iroquois,Songhai,Insofar as we can discern the Songhai thinks we are a competitor
7350,147,The Iroquois,Songhai,Recent episodes have led us to look at the Songhai as a poor military force
7351,147,The Iroquois,Songhai,The foreign office wants any forecasting in your possession pertaining to the Songhais military force
7352,147,The Iroquois,Songhai,We regard the possibility of taking over the Songhai to be favorable
7353,147,The Iroquois,Songhai,According to our sources the Songhai are mainly concerned with unknown preeminence
7354,147,The Iroquois,Songhai,This estimate comes from a not at all sure source
7355,147,The Iroquois,Songhai,All the best
7356,147,The Iroquois,Songhai,Songhai desk
7357,147,Germany,The Incas,Greetings Your Honor
7358,147,Germany,The Incas,I hope this finds you in high spirits and good health
7359,147,Germany,The Incas,In recompense for a deal to open the borders into The Incas for the next 30 turns we decided to grant The Incas an accord to open the borders into Germany for the upcoming 30 turns effective immediately
7360,147,Germany,The Incas,Sincerely
7361,147,Germany,The Incas,Chief of Mission
7362,147,Songhai,Florence,Dear colleague
7363,147,Songhai,Florence,We hope this finds you enjoying your posting
7364,147,Songhai,Florence,We consider Florence to be a favorable target for attack
7365,147,Songhai,Florence,A neutral attitude with Florence is what we maintain
7366,147,Songhai,Florence,Best wishes
7367,147,Songhai,Florence,Florence desk
7368,147,The Incas,Singapore,Diplomatic Corps
7369,147,The Incas,Singapore,It is a great honor to work with loyal public servants such as you and yours
7370,147,The Incas,Singapore,We esteem the hope of conquering Singapore to be favorable
7371,147,The Incas,Singapore,We disclosed that transactions between us and Singapore are of late neutral
7372,147,The Incas,Singapore,All the best
7373,147,The Incas,Singapore,The Foreign Service Office
7374,147,Morocco,Kathmandu,Greetings Your Honor the Foreign Secretary
7375,147,Morocco,Kathmandu,I hope this information finds you well
7376,147,Morocco,Kathmandu,Trusted news of ours identifies Kathmandus military force as average
7377,147,Morocco,Kathmandu,We professed that affairs between us and Kathmandu are at present friendly
7378,147,Morocco,Kathmandu,We regard the likelihood of conquering Kathmandu to be average
7379,147,Morocco,Kathmandu,Sincerely
7380,147,Morocco,Kathmandu,Chief of Mission
7381,147,Korea,Yerevan,Greetings Honorable Foreign Secretary
7382,147,Korea,Yerevan,Your humble representatives wish you well
7383,147,Korea,Yerevan,We published that affairs between us and Yerevan are currently protective
7384,147,Korea,Yerevan,Sincerely
7385,147,Korea,Yerevan,The Ambassador
7386,148,Morocco,The Iroquois,Moroccan embassy in the Iroquois nation
7387,148,Morocco,The Iroquois,All of us send our best wishes to those abroad in our service
7388,148,Morocco,The Iroquois,We are periodically reminded by the Iroquois behavior why we call the Iroquois a neutral party
